# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4847.5932 3.1847e+14 3.1760e+14
4847.6069 3.1847e+14 3.1760e+14
4847.6206 3.1847e+14 3.1760e+14
4847.6343 3.1847e+14 3.1760e+14
4847.6480 3.1847e+14 3.1760e+14
4847.6617 3.1847e+14 3.1759e+14
4847.6754 3.1847e+14 3.1759e+14
4847.6892 3.1847e+14 3.1759e+14
4847.7029 3.1847e+14 3.1759e+14
4847.7166 3.1847e+14 3.1759e+14
4847.7303 3.1847e+14 3.1759e+14
4847.7440 3.1847e+14 3.1759e+14
4847.7577 3.1847e+14 3.1759e+14
4847.7714 3.1847e+14 3.1759e+14
4847.7852 3.1847e+14 3.1759e+14
4847.7989 3.1847e+14 3.1759e+14
4847.8126 3.1847e+14 3.1758e+14
4847.8263 3.1847e+14 3.1758e+14
4847.8400 3.1847e+14 3.1758e+14
4847.8537 3.1847e+14 3.1758e+14
4847.8674 3.1847e+14 3.1758e+14
4847.8811 3.1847e+14 3.1758e+14
4847.8949 3.1847e+14 3.1758e+14
4847.9086 3.1847e+14 3.1758e+14
4847.9223 3.1847e+14 3.1758e+14
4847.9360 3.1847e+14 3.1758e+14
4847.9497 3.1847e+14 3.1757e+14
4847.9634 3.1847e+14 3.1757e+14
4847.9771 3.1847e+14 3.1757e+14
4847.9909 3.1847e+14 3.1757e+14
4848.0046 3.1847e+14 3.1757e+14
4848.0183 3.1847e+14 3.1757e+14
4848.0320 3.1847e+14 3.1757e+14
4848.0457 3.1847e+14 3.1757e+14
4848.0594 3.1847e+14 3.1757e+14
4848.0731 3.1847e+14 3.1757e+14
4848.0869 3.1847e+14 3.1757e+14
4848.1006 3.1847e+14 3.1756e+14
4848.1143 3.1847e+14 3.1756e+14
4848.1280 3.1847e+14 3.1756e+14
4848.1417 3.1847e+14 3.1756e+14
4848.1554 3.1847e+14 3.1756e+14
4848.1691 3.1847e+14 3.1756e+14
4848.1828 3.1847e+14 3.1756e+14
4848.1966 3.1847e+14 3.1756e+14
4848.2103 3.1847e+14 3.1756e+14
4848.2240 3.1847e+14 3.1756e+14
4848.2377 3.1847e+14 3.1755e+14
4848.2514 3.1847e+14 3.1755e+14
4848.2651 3.1847e+14 3.1755e+14
4848.2788 3.1847e+14 3.1755e+14
4848.2926 3.1847e+14 3.1755e+14
4848.3063 3.1847e+14 3.1755e+14
4848.3200 3.1847e+14 3.1755e+14
4848.3337 3.1847e+14 3.1755e+14
4848.3474 3.1847e+14 3.1755e+14
4848.3611 3.1847e+14 3.1755e+14
4848.3748 3.1847e+14 3.1755e+14
4848.3886 3.1847e+14 3.1754e+14
4848.4023 3.1847e+14 3.1754e+14
4848.4160 3.1847e+14 3.1754e+14
4848.4297 3.1847e+14 3.1754e+14
4848.4434 3.1847e+14 3.1754e+14
4848.4571 3.1847e+14 3.1754e+14
4848.4708 3.1847e+14 3.1754e+14
4848.4845 3.1847e+14 3.1754e+14
4848.4983 3.1847e+14 3.1754e+14
4848.5120 3.1847e+14 3.1754e+14
4848.5257 3.1847e+14 3.1753e+14
4848.5394 3.1847e+14 3.1753e+14
4848.5531 3.1847e+14 3.1753e+14
4848.5668 3.1847e+14 3.1753e+14
4848.5805 3.1847e+14 3.1753e+14
4848.5943 3.1847e+14 3.1753e+14
4848.6080 3.1847e+14 3.1753e+14
4848.6217 3.1847e+14 3.1753e+14
4848.6354 3.1847e+14 3.1753e+14
4848.6491 3.1847e+14 3.1753e+14
4848.6628 3.1847e+14 3.1752e+14
4848.6765 3.1847e+14 3.1752e+14
4848.6903 3.1847e+14 3.1752e+14
4848.7040 3.1847e+14 3.1752e+14
4848.7177 3.1847e+14 3.1752e+14
4848.7314 3.1847e+14 3.1752e+14
4848.7451 3.1847e+14 3.1752e+14
4848.7588 3.1847e+14 3.1752e+14
4848.7725 3.1847e+14 3.1752e+14
4848.7863 3.1847e+14 3.1752e+14
4848.8000 3.1847e+14 3.1751e+14
4848.8137 3.1847e+14 3.1751e+14
4848.8274 3.1847e+14 3.1751e+14
4848.8411 3.1847e+14 3.1751e+14
4848.8548 3.1847e+14 3.1751e+14
4848.8685 3.1847e+14 3.1751e+14
4848.8822 3.1847e+14 3.1751e+14
4848.8960 3.1847e+14 3.1751e+14
4848.9097 3.1847e+14 3.1751e+14
4848.9234 3.1847e+14 3.1751e+14
4848.9371 3.1847e+14 3.1750e+14
4848.9508 3.1847e+14 3.1750e+14
4848.9645 3.1847e+14 3.1750e+14
4848.9782 3.1847e+14 3.1750e+14
4848.9920 3.1847e+14 3.1750e+14
4849.0057 3.1847e+14 3.1750e+14
4849.0194 3.1847e+14 3.1750e+14
4849.0331 3.1847e+14 3.1750e+14
4849.0468 3.1847e+14 3.1750e+14
4849.0605 3.1847e+14 3.1750e+14
4849.0742 3.1847e+14 3.1749e+14
4849.0880 3.1847e+14 3.1749e+14
4849.1017 3.1847e+14 3.1749e+14
4849.1154 3.1847e+14 3.1749e+14
4849.1291 3.1847e+14 3.1749e+14
4849.1428 3.1847e+14 3.1749e+14
4849.1565 3.1847e+14 3.1749e+14
4849.1702 3.1847e+14 3.1749e+14
4849.1839 3.1847e+14 3.1749e+14
4849.1977 3.1847e+14 3.1749e+14
4849.2114 3.1847e+14 3.1748e+14
4849.2251 3.1847e+14 3.1748e+14
4849.2388 3.1847e+14 3.1748e+14
4849.2525 3.1847e+14 3.1748e+14
4849.2662 3.1847e+14 3.1748e+14
4849.2799 3.1847e+14 3.1748e+14
4849.2937 3.1847e+14 3.1748e+14
4849.3074 3.1847e+14 3.1748e+14
4849.3211 3.1847e+14 3.1748e+14
4849.3348 3.1847e+14 3.1747e+14
4849.3485 3.1847e+14 3.1747e+14
4849.3622 3.1847e+14 3.1747e+14
4849.3759 3.1847e+14 3.1747e+14
4849.3897 3.1847e+14 3.1747e+14
4849.4034 3.1847e+14 3.1747e+14
4849.4171 3.1847e+14 3.1747e+14
4849.4308 3.1847e+14 3.1747e+14
4849.4445 3.1847e+14 3.1747e+14
4849.4582 3.1847e+14 3.1747e+14
4849.4719 3.1847e+14 3.1746e+14
4849.4856 3.1847e+14 3.1746e+14
4849.4994 3.1847e+14 3.1746e+14
4849.5131 3.1847e+14 3.1746e+14
4849.5268 3.1847e+14 3.1746e+14
4849.5405 3.1847e+14 3.1746e+14
4849.5542 3.1847e+14 3.1746e+14
4849.5679 3.1847e+14 3.1746e+14
4849.5816 3.1847e+14 3.1746e+14
4849.5954 3.1847e+14 3.1746e+14
4849.6091 3.1847e+14 3.1745e+14
4849.6228 3.1847e+14 3.1745e+14
4849.6365 3.1847e+14 3.1745e+14
4849.6502 3.1847e+14 3.1745e+14
4849.6639 3.1847e+14 3.1745e+14
4849.6776 3.1847e+14 3.1745e+14
4849.6914 3.1847e+14 3.1745e+14
4849.7051 3.1847e+14 3.1745e+14
4849.7188 3.1847e+14 3.1745e+14
4849.7325 3.1847e+14 3.1744e+14
4849.7462 3.1847e+14 3.1744e+14
4849.7599 3.1847e+14 3.1744e+14
4849.7736 3.1847e+14 3.1744e+14
4849.7874 3.1847e+14 3.1744e+14
4849.8011 3.1847e+14 3.1744e+14
4849.8148 3.1847e+14 3.1744e+14
4849.8285 3.1847e+14 3.1744e+14
4849.8422 3.1847e+14 3.1744e+14
4849.8559 3.1847e+14 3.1743e+14
4849.8696 3.1847e+14 3.1743e+14
4849.8833 3.1847e+14 3.1743e+14
4849.8971 3.1847e+14 3.1743e+14
4849.9108 3.1847e+14 3.1743e+14
4849.9245 3.1847e+14 3.1743e+14
4849.9382 3.1847e+14 3.1743e+14
4849.9519 3.1847e+14 3.1743e+14
4849.9656 3.1847e+14 3.1743e+14
4849.9793 3.1847e+14 3.1743e+14
4849.9931 3.1847e+14 3.1742e+14
4850.0068 3.1847e+14 3.1742e+14
4850.0205 3.1847e+14 3.1742e+14
4850.0342 3.1847e+14 3.1742e+14
4850.0479 3.1847e+14 3.1742e+14
4850.0616 3.1847e+14 3.1742e+14
4850.0753 3.1847e+14 3.1742e+14
4850.0891 3.1847e+14 3.1742e+14
4850.1028 3.1847e+14 3.1742e+14
4850.1165 3.1847e+14 3.1741e+14
4850.1302 3.1847e+14 3.1741e+14
4850.1439 3.1847e+14 3.1741e+14
4850.1576 3.1847e+14 3.1741e+14
4850.1713 3.1847e+14 3.1741e+14
4850.1850 3.1847e+14 3.1741e+14
4850.1988 3.1847e+14 3.1741e+14
4850.2125 3.1847e+14 3.1741e+14
4850.2262 3.1847e+14 3.1741e+14
4850.2399 3.1847e+14 3.1740e+14
4850.2536 3.1847e+14 3.1740e+14
4850.2673 3.1847e+14 3.1740e+14
4850.2810 3.1847e+14 3.1740e+14
4850.2948 3.1847e+14 3.1740e+14
4850.3085 3.1847e+14 3.1740e+14
4850.3222 3.1847e+14 3.1740e+14
4850.3359 3.1847e+14 3.1740e+14
4850.3496 3.1847e+14 3.1740e+14
4850.3633 3.1847e+14 3.1739e+14
4850.3770 3.1847e+14 3.1739e+14
4850.3908 3.1847e+14 3.1739e+14
4850.4045 3.1847e+14 3.1739e+14
4850.4182 3.1847e+14 3.1739e+14
4850.4319 3.1847e+14 3.1739e+14
4850.4456 3.1847e+14 3.1739e+14
4850.4593 3.1847e+14 3.1739e+14
4850.4730 3.1847e+14 3.1739e+14
4850.4867 3.1847e+14 3.1738e+14
4850.5005 3.1847e+14 3.1738e+14
4850.5142 3.1847e+14 3.1738e+14
4850.5279 3.1847e+14 3.1738e+14
4850.5416 3.1847e+14 3.1738e+14
4850.5553 3.1847e+14 3.1738e+14
4850.5690 3.1847e+14 3.1738e+14
4850.5827 3.1847e+14 3.1738e+14
4850.5965 3.1847e+14 3.1738e+14
4850.6102 3.1847e+14 3.1737e+14
4850.6239 3.1847e+14 3.1737e+14
4850.6376 3.1847e+14 3.1737e+14
4850.6513 3.1847e+14 3.1737e+14
4850.6650 3.1847e+14 3.1737e+14
4850.6787 3.1847e+14 3.1737e+14
4850.6925 3.1847e+14 3.1737e+14
4850.7062 3.1847e+14 3.1737e+14
4850.7199 3.1847e+14 3.1737e+14
4850.7336 3.1847e+14 3.1736e+14
4850.7473 3.1847e+14 3.1736e+14
4850.7610 3.1847e+14 3.1736e+14
4850.7747 3.1847e+14 3.1736e+14
4850.7885 3.1846e+14 3.1736e+14
4850.8022 3.1846e+14 3.1736e+14
4850.8159 3.1846e+14 3.1736e+14
4850.8296 3.1846e+14 3.1736e+14
4850.8433 3.1846e+14 3.1736e+14
4850.8570 3.1846e+14 3.1735e+14
4850.8707 3.1846e+14 3.1735e+14
4850.8844 3.1846e+14 3.1735e+14
4850.8982 3.1846e+14 3.1735e+14
4850.9119 3.1846e+14 3.1735e+14
4850.9256 3.1846e+14 3.1735e+14
4850.9393 3.1846e+14 3.1735e+14
4850.9530 3.1846e+14 3.1735e+14
4850.9667 3.1846e+14 3.1735e+14
4850.9804 3.1846e+14 3.1734e+14
4850.9942 3.1846e+14 3.1734e+14
4851.0079 3.1846e+14 3.1734e+14
4851.0216 3.1846e+14 3.1734e+14
4851.0353 3.1846e+14 3.1734e+14
4851.0490 3.1846e+14 3.1734e+14
4851.0627 3.1846e+14 3.1734e+14
4851.0764 3.1846e+14 3.1734e+14
4851.0902 3.1846e+14 3.1733e+14
4851.1039 3.1846e+14 3.1733e+14
4851.1176 3.1846e+14 3.1733e+14
4851.1313 3.1846e+14 3.1733e+14
4851.1450 3.1846e+14 3.1733e+14
4851.1587 3.1846e+14 3.1733e+14
4851.1724 3.1846e+14 3.1733e+14
4851.1861 3.1846e+14 3.1733e+14
4851.1999 3.1846e+14 3.1733e+14
4851.2136 3.1846e+14 3.1732e+14
4851.2273 3.1846e+14 3.1732e+14
4851.2410 3.1846e+14 3.1732e+14
4851.2547 3.1846e+14 3.1732e+14
4851.2684 3.1846e+14 3.1732e+14
4851.2821 3.1846e+14 3.1732e+14
4851.2959 3.1846e+14 3.1732e+14
4851.3096 3.1846e+14 3.1732e+14
4851.3233 3.1846e+14 3.1732e+14
4851.3370 3.1846e+14 3.1731e+14
4851.3507 3.1846e+14 3.1731e+14
4851.3644 3.1846e+14 3.1731e+14
4851.3781 3.1846e+14 3.1731e+14
4851.3919 3.1846e+14 3.1731e+14
4851.4056 3.1846e+14 3.1731e+14
4851.4193 3.1846e+14 3.1731e+14
