# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4327.2810 6.8516e+14 6.0590e+14
4327.2942 6.8516e+14 6.0584e+14
4327.3075 6.8516e+14 6.0578e+14
4327.3207 6.8516e+14 6.0572e+14
4327.3339 6.8516e+14 6.0567e+14
4327.3471 6.8516e+14 6.0561e+14
4327.3604 6.8516e+14 6.0555e+14
4327.3736 6.8515e+14 6.0549e+14
4327.3868 6.8515e+14 6.0543e+14
4327.4000 6.8515e+14 6.0537e+14
4327.4133 6.8515e+14 6.0532e+14
4327.4265 6.8515e+14 6.0526e+14
4327.4397 6.8515e+14 6.0520e+14
4327.4529 6.8515e+14 6.0514e+14
4327.4662 6.8515e+14 6.0508e+14
4327.4794 6.8515e+14 6.0502e+14
4327.4926 6.8515e+14 6.0497e+14
4327.5059 6.8515e+14 6.0491e+14
4327.5191 6.8515e+14 6.0485e+14
4327.5323 6.8515e+14 6.0479e+14
4327.5455 6.8515e+14 6.0473e+14
4327.5588 6.8515e+14 6.0467e+14
4327.5720 6.8515e+14 6.0461e+14
4327.5852 6.8515e+14 6.0456e+14
4327.5984 6.8515e+14 6.0450e+14
4327.6117 6.8515e+14 6.0444e+14
4327.6249 6.8515e+14 6.0438e+14
4327.6381 6.8515e+14 6.0432e+14
4327.6513 6.8515e+14 6.0426e+14
4327.6646 6.8515e+14 6.0420e+14
4327.6778 6.8514e+14 6.0414e+14
4327.6910 6.8514e+14 6.0409e+14
4327.7042 6.8514e+14 6.0403e+14
4327.7175 6.8514e+14 6.0397e+14
4327.7307 6.8514e+14 6.0391e+14
4327.7439 6.8514e+14 6.0385e+14
4327.7571 6.8514e+14 6.0379e+14
4327.7704 6.8514e+14 6.0373e+14
4327.7836 6.8514e+14 6.0367e+14
4327.7968 6.8514e+14 6.0361e+14
4327.8100 6.8514e+14 6.0355e+14
4327.8233 6.8514e+14 6.0350e+14
4327.8365 6.8514e+14 6.0344e+14
4327.8497 6.8514e+14 6.0338e+14
4327.8629 6.8514e+14 6.0332e+14
4327.8762 6.8514e+14 6.0326e+14
4327.8894 6.8514e+14 6.0320e+14
4327.9026 6.8514e+14 6.0314e+14
4327.9158 6.8514e+14 6.0308e+14
4327.9291 6.8514e+14 6.0302e+14
4327.9423 6.8514e+14 6.0296e+14
4327.9555 6.8514e+14 6.0290e+14
4327.9687 6.8514e+14 6.0284e+14
4327.9820 6.8513e+14 6.0278e+14
4327.9952 6.8513e+14 6.0272e+14
4328.0084 6.8513e+14 6.0267e+14
4328.0216 6.8513e+14 6.0261e+14
4328.0349 6.8513e+14 6.0255e+14
4328.0481 6.8513e+14 6.0249e+14
4328.0613 6.8513e+14 6.0243e+14
4328.0746 6.8513e+14 6.0237e+14
4328.0878 6.8513e+14 6.0231e+14
4328.1010 6.8513e+14 6.0225e+14
4328.1142 6.8513e+14 6.0219e+14
4328.1275 6.8513e+14 6.0213e+14
4328.1407 6.8513e+14 6.0207e+14
4328.1539 6.8513e+14 6.0201e+14
4328.1671 6.8513e+14 6.0195e+14
4328.1804 6.8513e+14 6.0189e+14
4328.1936 6.8513e+14 6.0183e+14
4328.2068 6.8513e+14 6.0177e+14
4328.2200 6.8513e+14 6.0171e+14
4328.2333 6.8513e+14 6.0165e+14
4328.2465 6.8513e+14 6.0159e+14
4328.2597 6.8513e+14 6.0153e+14
4328.2729 6.8512e+14 6.0147e+14
4328.2862 6.8512e+14 6.0141e+14
4328.2994 6.8512e+14 6.0135e+14
4328.3126 6.8512e+14 6.0129e+14
4328.3258 6.8512e+14 6.0123e+14
4328.3391 6.8512e+14 6.0117e+14
4328.3523 6.8512e+14 6.0111e+14
4328.3655 6.8512e+14 6.0105e+14
4328.3787 6.8512e+14 6.0099e+14
4328.3920 6.8512e+14 6.0093e+14
4328.4052 6.8512e+14 6.0087e+14
4328.4184 6.8512e+14 6.0081e+14
4328.4316 6.8512e+14 6.0075e+14
4328.4449 6.8512e+14 6.0069e+14
4328.4581 6.8512e+14 6.0063e+14
4328.4713 6.8512e+14 6.0057e+14
4328.4845 6.8512e+14 6.0051e+14
4328.4978 6.8512e+14 6.0045e+14
4328.5110 6.8512e+14 6.0039e+14
4328.5242 6.8512e+14 6.0033e+14
4328.5374 6.8512e+14 6.0027e+14
4328.5507 6.8512e+14 6.0021e+14
4328.5639 6.8512e+14 6.0015e+14
4328.5771 6.8511e+14 6.0009e+14
4328.5903 6.8511e+14 6.0003e+14
4328.6036 6.8511e+14 5.9997e+14
4328.6168 6.8511e+14 5.9991e+14
4328.6300 6.8511e+14 5.9985e+14
4328.6433 6.8511e+14 5.9979e+14
4328.6565 6.8511e+14 5.9973e+14
4328.6697 6.8511e+14 5.9967e+14
4328.6829 6.8511e+14 5.9961e+14
4328.6962 6.8511e+14 5.9955e+14
4328.7094 6.8511e+14 5.9949e+14
4328.7226 6.8511e+14 5.9943e+14
4328.7358 6.8511e+14 5.9937e+14
4328.7491 6.8511e+14 5.9931e+14
4328.7623 6.8511e+14 5.9925e+14
4328.7755 6.8511e+14 5.9918e+14
4328.7887 6.8511e+14 5.9912e+14
4328.8020 6.8511e+14 5.9906e+14
4328.8152 6.8511e+14 5.9900e+14
4328.8284 6.8511e+14 5.9894e+14
4328.8416 6.8511e+14 5.9888e+14
4328.8549 6.8511e+14 5.9882e+14
4328.8681 6.8511e+14 5.9876e+14
4328.8813 6.8510e+14 5.9870e+14
4328.8945 6.8510e+14 5.9864e+14
4328.9078 6.8510e+14 5.9858e+14
4328.9210 6.8510e+14 5.9852e+14
4328.9342 6.8510e+14 5.9846e+14
4328.9474 6.8510e+14 5.9840e+14
4328.9607 6.8510e+14 5.9834e+14
4328.9739 6.8510e+14 5.9827e+14
4328.9871 6.8510e+14 5.9821e+14
4329.0003 6.8510e+14 5.9815e+14
4329.0136 6.8510e+14 5.9809e+14
4329.0268 6.8510e+14 5.9803e+14
4329.0400 6.8510e+14 5.9797e+14
4329.0532 6.8510e+14 5.9791e+14
4329.0665 6.8510e+14 5.9785e+14
4329.0797 6.8510e+14 5.9779e+14
4329.0929 6.8510e+14 5.9773e+14
4329.1061 6.8510e+14 5.9767e+14
4329.1194 6.8510e+14 5.9761e+14
4329.1326 6.8510e+14 5.9754e+14
