# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4091.1426 9.1712e+13 9.1712e+13
4091.1531 9.1712e+13 9.1712e+13
4091.1637 9.1713e+13 9.1713e+13
4091.1743 9.1713e+13 9.1713e+13
4091.1848 9.1714e+13 9.1714e+13
4091.1954 9.1714e+13 9.1714e+13
4091.2059 9.1715e+13 9.1715e+13
4091.2165 9.1715e+13 9.1715e+13
4091.2271 9.1716e+13 9.1716e+13
4091.2376 9.1716e+13 9.1716e+13
4091.2482 9.1717e+13 9.1717e+13
4091.2588 9.1717e+13 9.1717e+13
4091.2693 9.1718e+13 9.1718e+13
4091.2799 9.1718e+13 9.1718e+13
4091.2904 9.1719e+13 9.1719e+13
4091.3010 9.1719e+13 9.1719e+13
4091.3116 9.1720e+13 9.1720e+13
4091.3221 9.1720e+13 9.1720e+13
4091.3327 9.1721e+13 9.1721e+13
4091.3433 9.1721e+13 9.1721e+13
4091.3538 9.1722e+13 9.1721e+13
4091.3644 9.1722e+13 9.1722e+13
4091.3749 9.1723e+13 9.1722e+13
4091.3855 9.1723e+13 9.1723e+13
4091.3961 9.1723e+13 9.1723e+13
4091.4066 9.1724e+13 9.1724e+13
4091.4172 9.1724e+13 9.1724e+13
4091.4278 9.1725e+13 9.1725e+13
4091.4383 9.1725e+13 9.1725e+13
4091.4489 9.1726e+13 9.1726e+13
4091.4595 9.1726e+13 9.1726e+13
4091.4700 9.1727e+13 9.1727e+13
4091.4806 9.1727e+13 9.1727e+13
4091.4911 9.1728e+13 9.1728e+13
4091.5017 9.1728e+13 9.1728e+13
4091.5123 9.1729e+13 9.1729e+13
4091.5228 9.1729e+13 9.1729e+13
4091.5334 9.1730e+13 9.1730e+13
4091.5440 9.1730e+13 9.1730e+13
4091.5545 9.1731e+13 9.1731e+13
4091.5651 9.1731e+13 9.1731e+13
4091.5756 9.1732e+13 9.1732e+13
4091.5862 9.1732e+13 9.1732e+13
4091.5968 9.1733e+13 9.1733e+13
4091.6073 9.1733e+13 9.1733e+13
4091.6179 9.1734e+13 9.1734e+13
4091.6285 9.1734e+13 9.1734e+13
4091.6390 9.1735e+13 9.1735e+13
4091.6496 9.1735e+13 9.1735e+13
4091.6601 9.1736e+13 9.1735e+13
4091.6707 9.1736e+13 9.1736e+13
4091.6813 9.1737e+13 9.1736e+13
4091.6918 9.1737e+13 9.1737e+13
4091.7024 9.1737e+13 9.1737e+13
4091.7130 9.1738e+13 9.1738e+13
4091.7235 9.1738e+13 9.1738e+13
4091.7341 9.1739e+13 9.1739e+13
4091.7446 9.1739e+13 9.1739e+13
4091.7552 9.1740e+13 9.1740e+13
4091.7658 9.1740e+13 9.1740e+13
4091.7763 9.1741e+13 9.1741e+13
4091.7869 9.1741e+13 9.1741e+13
4091.7975 9.1742e+13 9.1742e+13
4091.8080 9.1742e+13 9.1742e+13
4091.8186 9.1743e+13 9.1743e+13
4091.8291 9.1743e+13 9.1743e+13
4091.8397 9.1744e+13 9.1744e+13
4091.8503 9.1744e+13 9.1744e+13
4091.8608 9.1745e+13 9.1745e+13
4091.8714 9.1745e+13 9.1745e+13
4091.8820 9.1746e+13 9.1746e+13
4091.8925 9.1746e+13 9.1746e+13
4091.9031 9.1747e+13 9.1747e+13
4091.9136 9.1747e+13 9.1747e+13
