# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
3959.8813 8.5488e+13 8.5488e+13
3959.8915 8.5488e+13 8.5488e+13
3959.9017 8.5489e+13 8.5489e+13
3959.9120 8.5489e+13 8.5489e+13
3959.9222 8.5490e+13 8.5490e+13
3959.9324 8.5490e+13 8.5490e+13
3959.9426 8.5491e+13 8.5491e+13
3959.9529 8.5491e+13 8.5491e+13
3959.9631 8.5492e+13 8.5492e+13
3959.9733 8.5492e+13 8.5492e+13
3959.9835 8.5493e+13 8.5493e+13
3959.9938 8.5493e+13 8.5493e+13
3960.0040 8.5494e+13 8.5494e+13
3960.0142 8.5494e+13 8.5494e+13
3960.0244 8.5495e+13 8.5495e+13
3960.0347 8.5495e+13 8.5495e+13
3960.0449 8.5496e+13 8.5496e+13
3960.0551 8.5496e+13 8.5496e+13
3960.0653 8.5497e+13 8.5497e+13
3960.0755 8.5497e+13 8.5497e+13
3960.0858 8.5498e+13 8.5498e+13
3960.0960 8.5498e+13 8.5498e+13
3960.1062 8.5499e+13 8.5499e+13
3960.1164 8.5499e+13 8.5499e+13
3960.1267 8.5500e+13 8.5500e+13
3960.1369 8.5500e+13 8.5500e+13
3960.1471 8.5501e+13 8.5501e+13
3960.1573 8.5501e+13 8.5501e+13
3960.1676 8.5502e+13 8.5502e+13
3960.1778 8.5502e+13 8.5502e+13
3960.1880 8.5503e+13 8.5503e+13
3960.1982 8.5503e+13 8.5503e+13
3960.2085 8.5504e+13 8.5504e+13
3960.2187 8.5504e+13 8.5504e+13
3960.2289 8.5505e+13 8.5505e+13
3960.2391 8.5505e+13 8.5505e+13
3960.2494 8.5506e+13 8.5506e+13
3960.2596 8.5506e+13 8.5506e+13
3960.2698 8.5507e+13 8.5507e+13
3960.2800 8.5507e+13 8.5507e+13
3960.2902 8.5508e+13 8.5508e+13
3960.3005 8.5508e+13 8.5508e+13
3960.3107 8.5509e+13 8.5509e+13
3960.3209 8.5509e+13 8.5509e+13
3960.3311 8.5510e+13 8.5510e+13
3960.3414 8.5510e+13 8.5510e+13
3960.3516 8.5511e+13 8.5511e+13
3960.3618 8.5511e+13 8.5511e+13
3960.3720 8.5512e+13 8.5512e+13
3960.3823 8.5512e+13 8.5512e+13
3960.3925 8.5513e+13 8.5513e+13
3960.4027 8.5513e+13 8.5513e+13
3960.4129 8.5514e+13 8.5514e+13
3960.4232 8.5514e+13 8.5514e+13
3960.4334 8.5515e+13 8.5515e+13
3960.4436 8.5515e+13 8.5515e+13
3960.4538 8.5516e+13 8.5516e+13
3960.4641 8.5516e+13 8.5516e+13
3960.4743 8.5517e+13 8.5517e+13
3960.4845 8.5517e+13 8.5517e+13
3960.4947 8.5518e+13 8.5518e+13
3960.5050 8.5518e+13 8.5518e+13
3960.5152 8.5519e+13 8.5519e+13
3960.5254 8.5519e+13 8.5519e+13
3960.5356 8.5520e+13 8.5520e+13
3960.5458 8.5520e+13 8.5520e+13
3960.5561 8.5521e+13 8.5521e+13
3960.5663 8.5521e+13 8.5521e+13
3960.5765 8.5522e+13 8.5522e+13
3960.5867 8.5522e+13 8.5522e+13
3960.5970 8.5523e+13 8.5523e+13
3960.6072 8.5523e+13 8.5523e+13
3960.6174 8.5524e+13 8.5524e+13
3960.6276 8.5524e+13 8.5524e+13
3960.6379 8.5525e+13 8.5525e+13
3960.6481 8.5525e+13 8.5525e+13
3960.6583 8.5526e+13 8.5526e+13
3960.6685 8.5526e+13 8.5526e+13
3960.6788 8.5527e+13 8.5527e+13
3960.6890 8.5527e+13 8.5527e+13
3960.6992 8.5528e+13 8.5528e+13
3960.7094 8.5528e+13 8.5528e+13
3960.7197 8.5529e+13 8.5529e+13
3960.7299 8.5529e+13 8.5529e+13
3960.7401 8.5530e+13 8.5530e+13
3960.7503 8.5530e+13 8.5530e+13
3960.7605 8.5531e+13 8.5531e+13
3960.7708 8.5531e+13 8.5531e+13
3960.7810 8.5532e+13 8.5532e+13
3960.7912 8.5532e+13 8.5532e+13
3960.8014 8.5533e+13 8.5533e+13
3960.8117 8.5533e+13 8.5533e+13
3960.8219 8.5534e+13 8.5534e+13
3960.8321 8.5534e+13 8.5534e+13
3960.8423 8.5535e+13 8.5535e+13
3960.8526 8.5535e+13 8.5535e+13
3960.8628 8.5536e+13 8.5536e+13
3960.8730 8.5536e+13 8.5536e+13
3960.8832 8.5537e+13 8.5537e+13
3960.8935 8.5537e+13 8.5537e+13
3960.9037 8.5538e+13 8.5538e+13
3960.9139 8.5538e+13 8.5538e+13
3960.9241 8.5539e+13 8.5539e+13
3960.9344 8.5539e+13 8.5539e+13
3960.9446 8.5540e+13 8.5540e+13
3960.9548 8.5540e+13 8.5540e+13
3960.9650 8.5541e+13 8.5541e+13
3960.9752 8.5541e+13 8.5541e+13
3960.9855 8.5542e+13 8.5542e+13
3960.9957 8.5542e+13 8.5542e+13
3961.0059 8.5543e+13 8.5543e+13
3961.0161 8.5543e+13 8.5543e+13
3961.0264 8.5544e+13 8.5544e+13
3961.0366 8.5544e+13 8.5544e+13
3961.0468 8.5545e+13 8.5545e+13
3961.0570 8.5545e+13 8.5545e+13
3961.0673 8.5546e+13 8.5546e+13
3961.0775 8.5546e+13 8.5546e+13
3961.0877 8.5547e+13 8.5547e+13
3961.0979 8.5547e+13 8.5547e+13
3961.1082 8.5548e+13 8.5548e+13
3961.1184 8.5548e+13 8.5548e+13
3961.1286 8.5549e+13 8.5549e+13
3961.1388 8.5549e+13 8.5549e+13
3961.1491 8.5550e+13 8.5550e+13
3961.1593 8.5550e+13 8.5550e+13
3961.1695 8.5551e+13 8.5551e+13
3961.1797 8.5551e+13 8.5551e+13
3961.1899 8.5552e+13 8.5552e+13
3961.2002 8.5552e+13 8.5552e+13
3961.2104 8.5553e+13 8.5553e+13
3961.2206 8.5553e+13 8.5553e+13
3961.2308 8.5554e+13 8.5554e+13
3961.2411 8.5554e+13 8.5554e+13
3961.2513 8.5555e+13 8.5555e+13
3961.2615 8.5555e+13 8.5555e+13
3961.2717 8.5556e+13 8.5556e+13
3961.2820 8.5556e+13 8.5556e+13
3961.2922 8.5557e+13 8.5557e+13
3961.3024 8.5557e+13 8.5557e+13
3961.3126 8.5558e+13 8.5558e+13
3961.3229 8.5558e+13 8.5558e+13
3961.3331 8.5559e+13 8.5559e+13
3961.3433 8.5559e+13 8.5559e+13
3961.3535 8.5560e+13 8.5560e+13
3961.3638 8.5560e+13 8.5560e+13
3961.3740 8.5561e+13 8.5561e+13
3961.3842 8.5561e+13 8.5561e+13
3961.3944 8.5562e+13 8.5562e+13
3961.4046 8.5562e+13 8.5562e+13
3961.4149 8.5563e+13 8.5563e+13
3961.4251 8.5563e+13 8.5563e+13
3961.4353 8.5564e+13 8.5564e+13
3961.4455 8.5564e+13 8.5564e+13
3961.4558 8.5565e+13 8.5565e+13
3961.4660 8.5565e+13 8.5565e+13
3961.4762 8.5566e+13 8.5566e+13
3961.4864 8.5566e+13 8.5566e+13
3961.4967 8.5567e+13 8.5567e+13
3961.5069 8.5567e+13 8.5567e+13
3961.5171 8.5568e+13 8.5568e+13
3961.5273 8.5568e+13 8.5568e+13
3961.5376 8.5569e+13 8.5569e+13
3961.5478 8.5569e+13 8.5569e+13
3961.5580 8.5570e+13 8.5570e+13
3961.5682 8.5570e+13 8.5570e+13
3961.5785 8.5571e+13 8.5571e+13
3961.5887 8.5571e+13 8.5571e+13
3961.5989 8.5572e+13 8.5572e+13
3961.6091 8.5572e+13 8.5572e+13
3961.6193 8.5573e+13 8.5573e+13
3961.6296 8.5573e+13 8.5573e+13
3961.6398 8.5574e+13 8.5574e+13
3961.6500 8.5574e+13 8.5574e+13
3961.6602 8.5575e+13 8.5575e+13
3961.6705 8.5575e+13 8.5575e+13
3961.6807 8.5576e+13 8.5576e+13
3961.6909 8.5576e+13 8.5576e+13
3961.7011 8.5577e+13 8.5577e+13
3961.7114 8.5577e+13 8.5577e+13
3961.7216 8.5578e+13 8.5578e+13
3961.7318 8.5578e+13 8.5578e+13
3961.7420 8.5579e+13 8.5579e+13
3961.7523 8.5579e+13 8.5579e+13
3961.7625 8.5580e+13 8.5580e+13
3961.7727 8.5580e+13 8.5580e+13
3961.7829 8.5581e+13 8.5581e+13
3961.7932 8.5581e+13 8.5581e+13
3961.8034 8.5582e+13 8.5582e+13
3961.8136 8.5582e+13 8.5582e+13
3961.8238 8.5583e+13 8.5583e+13
3961.8340 8.5583e+13 8.5583e+13
3961.8443 8.5584e+13 8.5584e+13
3961.8545 8.5584e+13 8.5584e+13
3961.8647 8.5585e+13 8.5585e+13
3961.8749 8.5585e+13 8.5585e+13
3961.8852 8.5586e+13 8.5586e+13
3961.8954 8.5586e+13 8.5586e+13
3961.9056 8.5587e+13 8.5587e+13
3961.9158 8.5587e+13 8.5587e+13
3961.9261 8.5588e+13 8.5588e+13
3961.9363 8.5588e+13 8.5588e+13
3961.9465 8.5589e+13 8.5589e+13
3961.9567 8.5589e+13 8.5589e+13
3961.9670 8.5590e+13 8.5590e+13
3961.9772 8.5590e+13 8.5590e+13
3961.9874 8.5591e+13 8.5591e+13
3961.9976 8.5591e+13 8.5591e+13
3962.0079 8.5592e+13 8.5592e+13
3962.0181 8.5592e+13 8.5592e+13
3962.0283 8.5593e+13 8.5593e+13
3962.0385 8.5593e+13 8.5593e+13
3962.0487 8.5594e+13 8.5594e+13
3962.0590 8.5594e+13 8.5594e+13
3962.0692 8.5595e+13 8.5595e+13
3962.0794 8.5595e+13 8.5595e+13
3962.0896 8.5596e+13 8.5596e+13
3962.0999 8.5596e+13 8.5596e+13
3962.1101 8.5597e+13 8.5597e+13
3962.1203 8.5597e+13 8.5597e+13
3962.1305 8.5598e+13 8.5598e+13
3962.1408 8.5598e+13 8.5598e+13
3962.1510 8.5599e+13 8.5599e+13
3962.1612 8.5599e+13 8.5599e+13
3962.1714 8.5600e+13 8.5600e+13
3962.1817 8.5600e+13 8.5600e+13
3962.1919 8.5601e+13 8.5601e+13
3962.2021 8.5601e+13 8.5601e+13
3962.2123 8.5602e+13 8.5602e+13
3962.2226 8.5602e+13 8.5602e+13
3962.2328 8.5603e+13 8.5603e+13
3962.2430 8.5603e+13 8.5603e+13
3962.2532 8.5604e+13 8.5604e+13
3962.2634 8.5604e+13 8.5604e+13
3962.2737 8.5605e+13 8.5605e+13
3962.2839 8.5605e+13 8.5605e+13
3962.2941 8.5606e+13 8.5606e+13
3962.3043 8.5606e+13 8.5606e+13
3962.3146 8.5607e+13 8.5607e+13
3962.3248 8.5607e+13 8.5607e+13
3962.3350 8.5608e+13 8.5608e+13
3962.3452 8.5608e+13 8.5608e+13
3962.3555 8.5609e+13 8.5609e+13
3962.3657 8.5609e+13 8.5609e+13
3962.3759 8.5610e+13 8.5610e+13
3962.3861 8.5610e+13 8.5610e+13
3962.3964 8.5611e+13 8.5611e+13
3962.4066 8.5611e+13 8.5611e+13
3962.4168 8.5612e+13 8.5612e+13
3962.4270 8.5612e+13 8.5612e+13
3962.4373 8.5613e+13 8.5613e+13
3962.4475 8.5613e+13 8.5613e+13
3962.4577 8.5614e+13 8.5614e+13
3962.4679 8.5614e+13 8.5614e+13
3962.4781 8.5615e+13 8.5615e+13
3962.4884 8.5615e+13 8.5615e+13
3962.4986 8.5616e+13 8.5616e+13
3962.5088 8.5616e+13 8.5616e+13
