# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
3878.0346 2.8076e+14 2.8070e+14
3878.0456 2.8076e+14 2.8070e+14
3878.0566 2.8076e+14 2.8070e+14
3878.0676 2.8076e+14 2.8070e+14
3878.0785 2.8076e+14 2.8071e+14
3878.0895 2.8076e+14 2.8071e+14
3878.1005 2.8076e+14 2.8071e+14
3878.1114 2.8076e+14 2.8071e+14
3878.1224 2.8076e+14 2.8071e+14
3878.1334 2.8077e+14 2.8071e+14
3878.1443 2.8077e+14 2.8071e+14
3878.1553 2.8077e+14 2.8071e+14
3878.1663 2.8077e+14 2.8071e+14
3878.1773 2.8077e+14 2.8071e+14
3878.1882 2.8077e+14 2.8071e+14
3878.1992 2.8077e+14 2.8072e+14
3878.2102 2.8077e+14 2.8072e+14
3878.2211 2.8077e+14 2.8072e+14
3878.2321 2.8077e+14 2.8072e+14
3878.2431 2.8077e+14 2.8072e+14
3878.2541 2.8078e+14 2.8072e+14
3878.2650 2.8078e+14 2.8072e+14
3878.2760 2.8078e+14 2.8072e+14
3878.2870 2.8078e+14 2.8072e+14
3878.2979 2.8078e+14 2.8072e+14
3878.3089 2.8078e+14 2.8073e+14
3878.3199 2.8078e+14 2.8073e+14
3878.3309 2.8078e+14 2.8073e+14
3878.3418 2.8078e+14 2.8073e+14
3878.3528 2.8078e+14 2.8073e+14
3878.3638 2.8079e+14 2.8073e+14
3878.3747 2.8079e+14 2.8073e+14
3878.3857 2.8079e+14 2.8073e+14
3878.3967 2.8079e+14 2.8073e+14
3878.4076 2.8079e+14 2.8073e+14
3878.4186 2.8079e+14 2.8073e+14
3878.4296 2.8079e+14 2.8074e+14
3878.4406 2.8079e+14 2.8074e+14
3878.4515 2.8079e+14 2.8074e+14
3878.4625 2.8079e+14 2.8074e+14
3878.4735 2.8079e+14 2.8074e+14
3878.4844 2.8080e+14 2.8074e+14
3878.4954 2.8080e+14 2.8074e+14
3878.5064 2.8080e+14 2.8074e+14
3878.5174 2.8080e+14 2.8074e+14
3878.5283 2.8080e+14 2.8074e+14
3878.5393 2.8080e+14 2.8074e+14
3878.5503 2.8080e+14 2.8075e+14
